" RANKING OF TOP 1,000 GLOBAL COMPANIES BY R&D INVESTMENT WITHIN INDUSTRY"
,,,,,,,,,"2009 R&D investment",,,,,,"Operating profit",,,,"Sales and employees",,,,,,"R&D and employees",,,,,,Sales,,
,,,,,,,,,,Growth,,÷ operating,,R&D + capex,,Growth,,,Sales,,,Sales ÷ employees,,,Employees,,,R&D ÷ employees ,,,outside,Market cap,,R&D spend,,
"Sanden, Japan",Japan,,,*,3,3355,Auto parts,Listed,46.70,2,16,,3.2,9.0,-109,-245,-337,-7.5,1441,-18,-11,178.7,-13,-11,8064,-5,1,5.8,8,15,,298,14,45.67,41.95,41.03,32.87
"WABCO, USA",USA,,,*,3,3355,Auto parts,Listed,46.57,-19,,541.0,5.0,9.0,9,-94,,0.9,924,-42,,114.0,-49,,8100,13,,5.7,-28,,92,1443,84,57.53,52.14,,
"Nissin Kogyo, Japan",Japan,,,*,3,3355,Auto parts,Listed,45.79,-6,3,56.2,3.7,9.2,81,-44,-33,6.6,1240,-8,7,147.8,-19,-22,8389,13,28,5.5,-17,-22,,581,3,48.65,45.70,42.35,40.50
4 Banks (21),,,,,,,,,4407.18,8.6,54.2,11.9,1.2,6.4,37180,,-41.6,10.0,370281,31.8,32.2,192.6,26.7,9.0,1900700,3.7,19.5,2.3,4.0,31.7,,574586,3.0,4058.52,3048.77,2185.34,1655.38
"Banco Santander, Spain",Spain,,,,4,8355,Banks,FT Global 500,760.70,18,,9.6,2.1,2.1,7947,-4,12,22.1,35986,31,58,211.6,3,20,170076,27,32,4.5,-7,,,61720,,645.33,554.58,,0.00
"Royal Bank of Scotland, UK",UK,,,,4,8355,Banks,FT Global 500,559.00,-7,25,,1.4,10.4,-2595,,,-6.7,38690,36,36,198.9,60,17,194500,-15,13,2.9,9,11,,27228,5,602.00,481.00,382.00,329.00
"HSBC, UK",UK,,,,4,8355,Banks,FT Global 500,472.48,0,29,10.8,1.0,3.6,4384,-24,-63,9.0,48691,-11,2,157.3,-5,1,309516,-7,2,1.5,7,28,,114883,2,473.09,363.49,364.73,260.08
"Danske Bank, Denmark",Denmark,,,,4,8355,Banks,Listed,288.72,-5,13,50.9,2.7,5.0,567,113,-67,5.3,10729,49,44,470.7,55,33,22794,-4,7,12.7,-1,5,,9484,-7,303.76,260.18,240.84,218.39
"Barclays, UK",UK,,,,4,8355,Banks,FT Global 500,264.00,-4,90,5.2,0.8,2.7,5094,-9,-15,16.0,31817,36,46,206.9,34,15,153800,2,25,1.7,-5,61,,38187,-4,274.00,118.00,95.00,68.00
"Australia & New Zealand Banking, Australia",Australia,,,,4,8355,Banks,FT Global 500,228.89,44,129,9.4,3.1,8.8,2439,-3,-12,33.3,7321,11,25,194.2,9,,37687,2,,6.1,41,,,31492,,159.28,112.50,75.18,53.46
"Societe Generale, France",France,,,,4,8355,Banks,FT Global 500,223.01,-19,-4,31.4,1.2,19.3,711,-80,-84,3.7,19307,-1,2,120.6,0,-21,160144,0,27,1.4,-19,-25,,25559,-10,276.32,279.88,190.14,186.58
"Rabobank, The Netherlands",The Netherlands,,,,4,8355,Banks,Unlisted,196.36,36,51,8.5,2.0,19.2,2314,-9,-8,23.1,10018,-3,9,167.1,-7,-6,59939,4,16,3.3,31,30,,,,143.94,141.27,158.15,75.52
"Commonwealth Bank of Australia, Australia",Australia,,,,4,8355,Banks,FT Global 500,196.04,169,484,5.5,2.1,8.1,3592,3,101,39.1,9175,13,135,207.5,1,106,44218,12,18,4.4,141,412,,44232,19,72.96,61.26,0.05,0.05
"National Australia Bank, Australia",Australia,,,,4,8355,Banks,FT Global 500,190.47,60,32,6.9,2.0,5.4,2775,58,-9,29.7,9343,28,38,239.9,30,38,38953,-2,0,4.9,63,32,,28249,-5,119.18,156.49,140.90,160.39
"Intesa Sanpaolo, Italy",Italy,,,,4,8355,Banks,FT Global 500,187.47,22,34,5.8,1.1,4.4,3230,561,6,19.7,16364,4,38,152.7,6,4,107164,-3,33,1.7,25,-5,,23476,-21,153.71,148.38,133.27,125.28
"UniCredit, Italy",Italy,,,,4,8355,Banks,FT Global 500,126.57,-50,55,6.6,0.5,6.1,1905,-44,-65,7.9,24062,3,24,137.8,4,-3,174651,-1,28,0.7,-50,47,,30157,-14,253.00,12.02,60.52,1.62
"Commerzbank, Germany",Germany,,,,4,8355,Banks,Listed,113.73,482,1363,,1.2,3.0,-4139,,-405,-42.6,9727,69,45,153.7,5,-21,63267,61,81,1.8,261,764,,6385,2,19.55,11.55,0.00,0.00
"Deutsche Bank, Germany",Germany,,,,4,8355,Banks,FT Global 500,113.73,178,341,2.5,0.5,2.6,4603,,21,18.6,24783,107,14,313.3,109,1,79098,-1,10,1.4,181,329,,25930,4,40.87,28.43,8.00,
"Nordea Bank, Sweden",Sweden,,,,4,8355,Banks,FT Global 500,79.96,-29,14,2.9,1.0,3.0,2732,-9,-13,33.9,8061,11,21,243.4,13,15,33118,-2,5,2.4,-27,11,,23722,-8,112.84,78.19,88.85,0.00
"DnB NOR, Norway",Norway,,,,4,8355,Banks,FT Global 500,76.22,20,97,6.5,1.9,7.2,1180,-9,-18,29.3,4023,9,25,284.2,10,10,14159,0,14,5.4,20,77,,11722,58,63.67,33.12,34.20,23.48
"Dexia, Belgium",Belgium,,,,4,8355,Banks,Listed,75.52,-7,11,6.1,1.4,6.9,1247,,10,22.9,5441,72,5,199.5,77,-11,27280,-3,13,2.8,-4,0,,5028,-48,80.85,85.30,63.08,42.65
"KB Financial, South Korea",South Korea,,,*,4,8355,Banks,FT Global 500,72.26,91,,24.7,1.7,4.1,293,8,,7.0,4160,73,,,,,,,,,,,,9838,,37.76,,,
"KBC, Belgium",Belgium,,,,4,8355,Banks,Listed,67.53,-29,18,,1.4,11.8,-2471,,-228,-52.4,4718,10,-50,82.9,14,-53,56939,-4,5,1.2,-26,13,,9477,25,95.07,39.98,69.30,24.88
"Lloyds Banking, UK",UK,,,,4,8355,Banks,FT Global 500,63.00,-21,16,6.0,0.1,7.6,1042,29,-66,2.3,45297,546,168,343.2,225,51,132000,99,81,0.5,-60,-37,,47815,74,80.00,47.00,51.00,40.00
"Caixa Geral de Depositos, Portugal",Portugal,,,,4,8355,Banks,Unlisted,51.55,0,26,15.5,2.0,8.0,333,-43,-56,13.0,2569,-19,-6,120.1,-23,-12,21397,5,7,2.4,-5,18,,,,51.34,36.16,30.13,46.00
5 Beverages (4),,,,,,,,,824.05,17.3,54.1,6.5,1.1,4.6,12590,36.1,49.3,17.5,72090,13.3,31.2,193.8,4.2,-1.4,371955,8.8,-36.6,2.2,7.8,17.9,,131526,23.6,702.30,490.77,472.75,472.77
"Kirin, Japan",Japan,,,*,5,3533,Brewers,Listed,407.09,15,76,83.6,3.2,3.2,487,-50,-41,3.8,12763,0,32,363.1,4,2,35150,-4,28,11.6,19,39,0,8329,-5,355.47,190.21,188.19,191.08
"PepsiCo, USA",USA,,,*,5,3537,Soft drinks,FT Global 500,256.36,7,15,4.9,1.0,5.9,5207,15,23,19.5,26771,0,15,131.9,-3,0,203000,3,11,1.3,4,2,,64587,18,240.26,225.40,213.02,210.54
"Anheuser-Busch Inbev, Belgium",Belgium,,,,5,3533,Brewers,FT Global 500,98.46,113,314,1.5,0.4,4.6,6355,103,130,27.9,22762,59,85,195.4,24,36,116489,28,36,0.8,66,210,,53152,39,46.20,17.77,15.10,15.99
"Asahi Breweries, Japan",Japan,,,*,5,3533,Brewers,Listed,62.14,3,8,11.5,0.6,3.0,541,-11,-9,5.5,9795,1,1,565.6,-5,-9,17316,6,12,3.6,-3,-3,,5457,14,60.37,57.39,56.43,55.16
6 Chemicals (69),,,,,,,,,15178.14,3.1,8.3,75.6,3.5,10.1,20070,-45.7,-51.5,4.6,438373,-16.2,-4.4,316.7,-13.5,-10.4,1270127,-0.2,0.1,11.8,3.6,5.7,,364862,10.7,14728.73,13785.25,14047.29,12549.13
"Bayer, Germany",Germany,,,,6,1353,Commodity chemicals,FT Global 500,2633.50,9,22,105.6,9.5,13.8,2495,-17,-8,9.0,27693,-5,0,255.0,-6,-7,108595,1,8,24.3,7,14,58,31287,2,2421.15,2350.07,2183.03,1675.70
"BASF, Germany",Germany,,,,6,1353,Commodity chemicals,FT Global 500,1252.78,3,9,37.4,2.8,10.9,3349,-40,-43,7.4,45040,-19,-6,428.7,-25,-18,105054,8,15,11.9,-5,-5,44,31762,13,1219.01,1243.36,1156.20,965.17
"Dow Chemical, USA",USA,,,*,6,1353,Commodity chemicals,FT Global 500,923.90,14,23,68.6,3.3,6.5,1347,16,-51,4.8,27831,-22,-13,533.2,-31,-26,52195,13,18,17.7,1,4,69,18070,15,811.20,808.10,720.79,664.44
"Sumitomo Chemical, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,872.21,24,41,,7.3,15.1,-221,-134,-126,-1.9,11895,-6,9,442.2,-10,-3,26902,5,14,32.4,18,24,,4414,-15,701.10,649.98,611.08,520.23
"DuPont, USA",USA,,,*,6,1353,Commodity chemicals,FT Global 500,853.30,-1,3,51.9,5.3,10.3,1645,-5,-22,10.2,16168,-14,-8,278.8,-12,-6,58000,-3,-3,14.7,2,6,60,22634,25,862.59,828.53,806.24,827.30
"Mitsubishi Chemical, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,850.12,14,34,,4.4,9.2,-285,-139,-135,-1.5,19350,-1,15,466.5,-40,-20,41480,65,40,20.5,-31,-6,,4635,3,745.43,606.49,595.96,593.44
"Syngenta, Switzerland",Switzerland,,,,6,1353,Commodity chemicals,FT Global 500,594.46,-1,12,54.5,8.7,15.2,1092,-5,45,16.0,6807,-5,19,262.6,-12,-2,25925,7,22,22.9,-8,-8,67,13743,3,600.04,513.96,492.91,509.01
"Solvay, Belgium",Belgium,,,,6,1357,Specialty chemicals,Listed,502.89,-2,3,73.6,6.7,11.6,683,38,3,9.1,7539,-11,-10,267.3,-7,-7,28204,-4,-3,17.8,2,6,45,4796,-8,513.55,506.44,510.00,423.81
"Asahi Kasei, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,404.76,8,15,229.4,3.9,10.2,176,-77,-75,1.7,10331,-8,0,426.1,-10,-2,24244,2,3,16.7,7,12,,4437,1,373.63,348.73,342.35,337.35
"DSM, The Netherlands",The Netherlands,,,,6,1357,Specialty chemicals,Listed,352.73,1,15,218.1,5.0,10.1,162,-78,-74,2.3,6989,-15,-9,307.4,-14,-10,22738,-2,1,15.5,3,13,52,5101,36,350.07,330.52,290.54,257.66
"Toray Industries, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,332.28,9,23,,3.4,10.3,-36,-106,-107,-0.4,9789,-11,-1,258.1,-9,-6,37924,-2,6,8.8,11,16,,5561,9,304.83,281.13,254.06,244.67
"AKZO Nobel, The Netherlands",The Netherlands,,,,6,1357,Specialty chemicals,Listed,282.54,-5,-46,35.7,2.3,6.1,791,,1,6.4,12344,-10,0,210.6,-6,-5,58600,-4,3,4.8,0,-46,54,7905,-1,296.76,248.78,787.21,743.67
"Mitsui Chemicals, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,270.25,-4,8,,2.7,7.7,-334,-182,-167,-3.4,9895,-17,-4,763.3,-18,-7,12964,1,4,20.8,-5,4,9,1701,-13,280.24,245.74,247.09,232.02
"Teijin, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,250.31,4,14,,4.0,12.0,-162,-248,-154,-2.6,6275,-9,-3,322.6,-11,-5,19453,2,2,12.9,2,11,,1938,-10,241.34,233.46,207.51,199.71
"Shin-Etsu Chemical, Japan",Japan,,,*,6,1357,Specialty chemicals,FT Global 500,249.24,-22,0,15.7,3.1,18.9,1590,-19,8,19.9,7988,-13,1,416.7,-8,1,19170,-5,0,13.0,-17,1,33,12502,-13,318.92,277.63,212.88,185.75
"PPG Industries, USA",USA,,,*,6,1357,Specialty chemicals,Listed,240.26,-14,8,52.0,3.2,5.1,462,-33,-36,6.1,7579,-23,-1,189.9,-13,-11,39900,-11,12,6.0,-3,-3,,6781,22,279.27,209.92,206.82,191.34
"L'Air Liquide, France",France,,,,6,1353,Commodity chemicals,FT Global 500,153.71,-10,5,8.7,1.4,13.0,1758,2,16,16.5,10641,-9,3,251.6,-7,-4,42300,-2,8,3.6,-8,-3,,18799,12,170.06,155.58,137.10,125.37
"Wacker-Chemie, Germany",Germany,,,,6,1357,Specialty chemicals,Listed,145.71,0,7,700.8,4.4,23.3,21,-96,-95,0.6,3305,-13,5,210.2,-13,0,15719,-1,5,9.3,1,2,54,5159,29,145.00,135.50,135.32,130.52
"Nitto Denko, Japan",Japan,,,*,6,1357,Specialty chemicals,Listed,144.45,-2,7,326.2,3.8,14.4,44,-91,-91,1.2,3844,-22,-10,134.2,-9,-22,28640,-15,12,5.0,16,-8,10,3647,8,146.98,144.56,136.29,111.35
"JSR, Japan",Japan,,,*,6,1357,Specialty chemicals,Listed,140.09,10,23,103.0,6.0,6.0,136,-64,-60,5.8,2345,-13,0,446.1,-16,-11,5256,3,12,26.7,7,10,3,2476,-14,127.17,115.68,105.29,106.62
"Showa Denko, Japan",Japan,,,*,6,1357,Specialty chemicals,Listed,137.98,3,12,,3.1,8.8,-295,-846,-227,-6.5,4511,-32,-28,390.1,-31,-29,11564,-2,2,11.9,5,10,,1705,14,133.52,115.72,129.86,115.64
"Arkema, France",France,,,,6,1353,Commodity chemicals,Listed,120.84,-9,-14,,3.1,8.8,-52,-132,-136,-1.3,3948,-21,-22,286.1,-15,-12,13803,-7,-12,8.8,-3,-3,46,1653,38,133.27,140.38,149.27,
"Umicore, Belgium",Belgium,,,,6,1357,Specialty chemicals,Listed,120.57,-19,10,99.6,2.0,4.4,121,-44,-46,2.0,6177,-24,-20,635.9,-22,-18,9713,-3,-3,12.4,-17,12,,2597,29,148.95,110.68,91.25,87.96
"Kaneka, Japan",Japan,,,*,6,1357,Specialty chemicals,Listed,114.43,4,4,880238.5,3.8,11.7,<0.5,-100,-100,0.0,2991,-11,-4,408.5,-8,-6,7321,-2,1,15.6,6,3,17,1316,-17,110.49,112.22,112.16,104.73
"Kuraray, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,108.81,7,19,94.9,4.3,4.3,115,-55,-41,4.6,2506,-10,-2,365.3,-11,-2,6861,1,0,15.9,6,18,29,2790,7,101.44,79.84,93.58,92.29
"Mitsubishi Rayon, Japan (now part of Mitsubishi Chemical)",Japan,,,*,6,1357,Specialty chemicals,Unlisted,98.60,18,42,,4.3,15.7,-261,-222,-201,-11.4,2295,-18,-9,298.2,-18,-6,7696,0,-3,12.8,19,46,,,,83.21,53.26,72.96,69.11
"DIC, Japan",Japan,,,*,6,1357,Specialty chemicals,Listed,97.98,-5,-5,83.6,1.6,6.1,117,-59,-58,1.9,6202,-14,-9,262.6,-8,-1,23613,-6,-8,4.1,1,4,46,1007,22,103.66,103.16,98.99,105.87
"Mitsubishi Gas Chemical, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,97.83,8,27,183.4,3.3,11.8,53,-87,-84,1.8,2978,-14,-2,607.4,-18,-9,4902,5,8,20.0,4,17,8,1582,-8,90.22,76.42,71.19,71.35
"Tosoh, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,95.79,6,21,,2.0,9.6,-119,-130,-132,-2.4,4879,-11,3,437.0,-12,-7,11166,1,11,8.6,5,9,,957,-15,90.47,84.48,73.84,67.85
"UBE Industries, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,93.95,4,12,62.4,2.1,7.1,151,-54,-38,3.3,4555,-3,9,404.3,-5,5,11264,2,3,8.3,2,8,9,1491,-11,90.45,86.61,83.07,76.47
"Lubrizol, USA",USA,,,*,6,1357,Specialty chemicals,Listed,91.46,-1,4,17.9,3.2,6.3,512,1298,168,18.0,2840,-9,4,423.9,-5,9,6700,-4,-5,13.7,3,9,63,3814,48,92.64,91.77,83.78,82.85
"Clariant, Switzerland",Switzerland,,,,6,1357,Specialty chemicals,Listed,89.86,-18,-27,,2.3,4.3,-17,-113,-111,-0.4,3962,-18,-21,225.9,-6,-3,17536,-13,-19,5.1,-7,-10,56,1868,67,110.23,126.40,124.00,130.59
"Huntsman, USA",USA,,,*,6,1353,Commodity chemicals,Listed,89.79,-6,14,,1.9,4.3,-43,-106,-109,-0.9,4807,-24,-34,437.0,-13,-24,11000,-13,-14,8.2,8,32,65,1373,31,95.36,89.60,71.46,59.14
"LyondellBasell Industries, Luxembourg",Luxembourg,,,*,6,1357,Specialty chemicals,Unlisted,89.79,-25,1,,0.5,3.0,-1547,,,-8.1,19090,-40,37,,,,,,,,,,65,,,120.13,83.60,93.29,58.05
"Lanxess, Germany",Germany,,,,6,1353,Commodity chemicals,Listed,89.74,4,8,72.7,2.0,8.6,124,-57,-46,2.7,4493,-23,-26,310.5,-21,-18,14472,-2,-10,6.2,6,19,48,2518,58,86.18,78.19,77.30,89.74
"Saudi Basic Industries, Saudi Arabia",Saudi Arabia,,,*,6,1357,Specialty chemicals,FT Global 500,87.44,-7,12,4.5,0.5,24.9,1937,-69,-60,11.4,17016,-32,-7,,,,,,,,,,,42478,17,94.29,87.27,52.11,
"Johnson Matthey, UK",UK,,,,6,1357,Specialty chemicals,Listed,87.20,6,28,35.3,1.1,2.6,247,-12,-7,3.1,7839,0,19,914.2,8,16,8575,-7,3,10.2,14,24,55,3514,16,82.50,68.10,63.50,58.80
"Sumitomo Bakelite, Japan",Japan,,,*,6,1357,Specialty chemicals,Listed,87.00,1,9,,6.2,12.5,-76,-1151,-185,-5.4,1413,-6,-10,175.1,3,-2,8071,-9,-10,10.8,11,17,,813,-5,85.88,84.82,75.89,73.46
"Eastman Chemical, USA",USA,,,*,6,1353,Commodity chemicals,Listed,84.84,-13,-15,44.3,2.7,8.9,191,-39,-51,6.1,3125,-27,-30,312.5,-23,-22,10000,-5,-10,8.5,-9,-6,46,2690,10,97.84,96.60,103.41,100.32
"Lonza, Switzerland",Switzerland,,,,6,1357,Specialty chemicals,Listed,82.67,-9,16,57.7,5.1,23.9,143,-46,-36,8.9,1611,-8,-4,191.3,-12,-24,8424,4,25,9.8,-13,-6,,2717,-16,91.06,75.48,64.70,53.32
"Symrise, Germany",Germany,,,,6,1357,Specialty chemicals,Listed,80.94,-3,6,58.6,6.7,9.6,138,-17,23,11.4,1210,3,10,236.5,4,9,5116,-1,1,15.8,-2,5,50,1868,60,83.42,73.61,69.59,78.59
"Nippon Shokubai, Japan",Japan,,,*,6,1357,Specialty chemicals,Listed,80.37,8,15,,4.2,10.3,-19,-115,-113,-1.0,1923,-4,16,563.1,-8,-1,3415,4,17,23.5,4,-2,21,1164,17,74.36,73.99,67.32,63.39
"Daicel Chemical Industries, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,80.13,0,4,127.2,3.2,10.0,63,-69,-58,2.5,2514,-9,5,322.2,-11,-10,7803,2,17,10.3,-1,-11,,1417,-3,79.85,77.94,74.64,74.63
"Linde, Germany",Germany,,,,6,1353,Commodity chemicals,FT Global 500,79.08,-14,-48,7.8,0.8,9.9,1020,-11,9,10.2,9961,-11,-5,202.9,-7,-2,49093,-4,-3,1.6,-10,-47,53,12266,19,92.40,86.18,225.68,201.69
"Tokuyama, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,78.97,6,18,,3.9,22.4,-16,-108,-110,-0.8,2002,-2,9,378.1,-7,-1,5295,5,11,14.9,2,7,,1154,-14,74.24,71.55,62.51,58.98
"Borealis, Austria",Austria,,,,6,1353,Commodity chemicals,Unlisted,78.19,6,61,209.5,1.9,8.4,37,-85,-90,0.9,4188,-30,-20,803.1,-27,-25,5215,-3,6,15.0,9,54,,,,73.75,43.54,39.98,36.43
"Zeon, Japan",Japan,,,*,6,1357,Specialty chemicals,Listed,75.30,-8,7,906.3,4.2,4.2,8,-94,-94,0.5,1788,-11,0,620.5,-3,2,2882,-9,-2,26.1,1,11,,1035,46,81.66,78.13,60.85,59.61
"Toyobo, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,70.97,-2,5,,2.9,8.9,-123,-857,-224,-5.0,2443,-15,-11,218.5,-12,-9,11181,-4,-4,6.3,2,7,,784,-7,72.35,69.35,67.04,61.20
"Nippon Kayaku, Japan",Japan,,,*,6,1357,Specialty chemicals,Listed,69.70,-3,1,154.0,7.8,15.0,45,-46,-51,5.1,894,-7,-5,221.2,-3,0,4040,-4,-5,17.3,2,6,,1012,6,71.67,72.49,69.31,63.18
"Denki Kagaku Kogyo, Japan",Japan,,,*,6,1357,Specialty chemicals,Listed,68.41,6,17,524.5,3.1,3.1,13,-89,-91,0.6,2223,-8,4,464.7,-11,3,4783,3,2,14.3,3,15,,1341,25,64.52,55.46,58.59,56.16
"Rhodia, France",France,,,,6,1357,Specialty chemicals,Listed,67.53,-7,-32,63.9,1.9,5.3,106,-57,-63,3.0,3582,-19,-25,259.1,-16,-10,13823,-4,-17,4.9,-4,-18,66,1202,67,72.86,99.51,104.84,119.06
"ALTANA, Germany",Germany,,,,6,1357,Specialty chemicals,Listed,63.59,-1,-74,150.5,6.1,10.1,42,-71,-90,4.0,1050,-12,-52,223.2,-11,-10,4703,-1,-48,13.5,0,-40,53,1739,11,64.03,59.92,439.52,413.11
"Ashland, USA",USA,,,*,6,1357,Specialty chemicals,Listed,59.45,85,97,26.2,1.2,3.3,227,65,-49,4.5,5020,-3,-10,341.5,-22,-18,14700,24,5,4.0,49,75,,2393,53,32.20,30.96,29.72,27.87
"FMC, USA",USA,,,*,6,1357,Specialty chemicals,Listed,57.47,-1,-2,26.9,3.3,9.0,213,-30,6,12.2,1750,-9,10,364.6,-6,15,4800,-4,-4,12.0,3,2,63,2725,18,58.08,58.58,60.00,58.46
"Tokyo Ohka Kogyo, Japan",Japan,,,*,6,1357,Specialty chemicals,Listed,56.82,6,31,,10.2,15.6,-35,-165,-154,-6.3,557,-18,-15,301.3,-18,,1848,0,,30.7,6,,17,458,-32,53.85,43.15,37.80,38.58
"Avery Dennison, USA",USA,,,*,6,1357,Specialty chemicals,Listed,56.16,-4,0,,1.5,2.7,-437,-271,-264,-11.9,3686,-11,-1,115.2,-1,-12,32000,-10,8,1.8,8,-12,66,2323,21,58.21,59.14,54.43,52.88
"Tokai Rubber Industries, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,55.68,6,14,177.2,3.1,13.6,31,-82,-78,1.7,1825,-12,3,145.6,-17,-14,12533,6,20,4.4,0,-5,,723,-11,52.61,49.96,47.59,44.71
"Cheil Industries, South Korea",South Korea,,,*,6,1353,Commodity chemicals,Listed,55.04,14,56,54.2,2.4,5.3,102,-6,-8,4.5,2266,14,38,686.9,,,3299,,,16.7,,,,2338,,48.13,41.21,30.28,21.39
"Air Products and Chemicals, USA",USA,,,*,6,1353,Commodity chemicals,Listed,53.44,-18,-35,9.0,1.0,15.1,595,-27,-22,11.5,5190,-23,-13,274.6,-14,-3,18900,-10,-10,2.8,-9,-28,,9960,3,65.45,86.82,93.75,82.17
"NewMarket, USA",USA,,,*,6,1357,Specialty chemicals,Listed,53.30,5,17,33.2,5.6,8.1,160,129,149,16.9,948,-5,15,724.4,-7,6,1308,2,9,40.7,3,8,60,890,19,50.62,47.58,43.51,40.49
"Ecolab, USA",USA,,,*,6,1357,Specialty chemicals,Listed,53.25,0,11,12.6,1.5,5.7,422,1,9,11.5,3654,-4,12,140.5,-2,6,26000,-2,6,2.0,2,5,,6891,11,53.25,51.15,45.39,42.34
"Adeka, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,49.94,1,9,176.4,4.3,9.1,28,-73,-71,2.4,1172,-8,3,434.5,-13,,2697,6,,18.5,-4,,,634,8,49.32,46.66,44.27,43.14
"Toyo Ink Manufacturing, Japan",Japan,,,*,6,1353,Commodity chemicals,Listed,47.45,-6,-1,5448.2,3.0,7.1,1,-98,-99,0.1,1595,-7,-1,232.5,-8,,6860,2,,6.9,-7,,4,745,13,50.24,47.54,46.85,46.95
"Cytec Industries, USA",USA,,,*,6,1357,Specialty chemicals,Listed,46.57,-8,0,254.9,2.7,9.6,18,,-82,1.1,1727,-23,-17,297.8,-11,-2,5800,-13,-16,8.0,6,19,56,1472,78,50.53,46.88,45.76,42.42
"Celanese, USA",USA,,,*,6,1353,Commodity chemicals,Listed,46.44,-6,-4,25.2,1.5,4.9,185,-23,-58,5.9,3147,-26,-22,425.3,-16,-9,7400,-11,-15,6.3,6,13,,2650,9,49.54,45.20,43.35,56.35
"Praxair, USA",USA,,,*,6,1353,Commodity chemicals,FT Global 500,45.82,-24,-18,4.6,0.8,15.9,1003,-15,0,18.1,5546,-17,-1,212.0,-15,3,26164,-3,-4,1.8,-21,-15,,16543,12,60.07,60.69,53.87,49.54
"Sika, Switzerland",Switzerland,,,,6,1357,Specialty chemicals,Listed,44.75,1,19,21.4,1.8,5.0,209,-18,-11,8.4,2489,-10,4,197.0,-8,-6,12635,-2,11,3.5,3,13,,2576,45,44.39,37.32,31.15,
"Cabot, USA",USA,,,*,6,1357,Specialty chemicals,Listed,43.97,-4,9,,3.2,7.9,-36,-138,-158,-2.6,1389,-30,-14,351.6,-23,-6,3950,-8,-9,11.1,4,20,,1165,43,45.82,42.73,35.92,36.54
"WR Grace, USA",USA,,,*,6,1357,Specialty chemicals,Listed,43.41,-15,-2,76.6,2.5,5.8,57,-52,-41,3.2,1749,-15,-4,294.5,-10,3,5940,-6,-8,7.3,-10,6,66,1159,44,51.21,49.29,39.51,36.66
7 Construction & materials (23),,,,,,,,,2908.89,18.9,11.3,28.1,1.1,6.6,10337,-39.4,-38.7,3.8,270594,2.4,-4.3,187.5,1.8,-2.8,1396692,0.3,-25.4,2.0,18.5,1.7,,99788,-13.0,2446.64,2075.40,1748.81,1597.86
"China Railway Construction, China",China,,,,7,2357,Heavy construction,Listed,468.25,194,,63.1,1.5,5.9,742,91,,2.4,31291,57,,149.6,43,,209103,10,,2.2,168,,,8571,-22,159.27,25.84,,
"Saint-Gobain, France",France,,,,7,2353,Building materials & fixtures,FT Global 500,350.07,2,6,32.7,1.0,4.4,1072,-56,-57,3.2,33573,-14,-8,169.0,-10,-6,198713,-4,-2,1.8,7,8,,12966,-4,342.07,354.51,331.41,294.09
"Asahi Glass, Japan",Japan,,,*,7,2353,Building materials & fixtures,Listed,299.05,19,34,105.1,3.9,15.5,285,-61,-43,3.7,7638,-21,-27,160.4,-20,-20,47618,0,-9,6.3,20,45,26,7286,12,250.77,225.79,204.75,210.90
"Daikin Industries, Japan",Japan,,,*,7,2353,Building materials & fixtures,Listed,203.11,-5,11,54.8,2.5,7.6,370,-56,-35,4.6,7998,-7,29,200.5,-15,-12,39896,10,44,5.1,-13,-27,35,6400,-6,213.36,180.96,177.26,163.52
"China Communications Construction, China",China,,,,7,2357,Heavy construction,Listed,157.56,60,334,13.9,0.8,7.4,1134,9,57,5.5,20583,27,72,204.9,17,32,100461,8,17,1.6,48,202,,8365,-28,98.60,25.31,16.24,5.17
"Hilti, Liechtenstein",Liechtenstein,,,,7,2353,Building materials & fixtures,Unlisted,155.10,1,15,165.0,6.7,11.7,94,-65,-63,4.1,2303,-18,-10,116.9,-15,-17,19709,-4,8,7.9,5,6,,,,152.94,139.16,129.58,116.64
"Lafarge, France",France,,,,7,2353,Building materials & fixtures,FT Global 500,135.05,-5,,7.1,1.0,10.8,1892,-32,-24,13.4,14113,-17,-11,205.2,-9,-1,68765,-9,-11,2.0,4,,64,8689,-35,142.16,125.28,,
"Bouygues, France",France,,,,7,2357,Heavy construction,Listed,130.61,6,8,6.7,0.5,4.4,1956,-8,5,7.0,27857,-4,11,193.0,-2,1,144354,-2,10,0.9,8,-2,15,9102,-7,123.50,125.28,111.95,121.72
